file_path,team1,team2,date
dt\csv1\64814.csv,New Zealand,India,2002-12-29
dt\csv1\64815.csv,India,New Zealand,2003-01-01
dt\csv1\64816.csv,India,New Zealand,2003-01-04
dt\csv1\64817.csv,New Zealand,India,2003-01-08
dt\csv1\64819.csv,India,New Zealand,2003-01-14
dt\csv1\64820.csv,Australia,West Indies,2003-05-17
dt\csv1\64825.csv,Australia,West Indies,2003-05-30
dt\csv1\64826.csv,Australia,West Indies,2003-06-01
dt\csv1\64827.csv,Sri Lanka,West Indies,2003-06-07
dt\csv1\64829.csv,Sri Lanka,West Indies,2003-06-11
dt\csv1\64830.csv,Bangladesh,Australia,2003-08-02
dt\csv1\64831.csv,Bangladesh,Australia,2003-08-03
dt\csv1\64832.csv,Australia,Bangladesh,2003-08-06
dt\csv1\64833.csv,Pakistan,Bangladesh,2003-09-09
dt\csv1\64836.csv,Bangladesh,Pakistan,2003-09-18
dt\csv1\64837.csv,Pakistan,Bangladesh,2003-09-21
dt\csv1\64838.csv,Pakistan,South Africa,2003-10-03
dt\csv1\64839.csv,Pakistan,South Africa,2003-10-05
dt\csv1\64840.csv,Pakistan,South Africa,2003-10-07
dt\csv1\64841.csv,Pakistan,South Africa,2003-10-10
dt\csv1\64842.csv,Pakistan,South Africa,2003-10-12
dt\csv1\64843.csv,Bangladesh,England,2003-11-07
dt\csv1\64844.csv,Bangladesh,England,2003-11-10
dt\csv1\64845.csv,Bangladesh,England,2003-11-12
dt\csv1\64846.csv,England,Sri Lanka,2003-11-18
dt\csv1\64848.csv,West Indies,Zimbabwe,2003-11-23
dt\csv1\64849.csv,Zimbabwe,West Indies,2003-11-26
dt\csv1\64850.csv,New Zealand,Pakistan,2003-11-29
dt\csv1\64851.csv,West Indies,Zimbabwe,2003-11-29
dt\csv1\64852.csv,Zimbabwe,West Indies,2003-11-30
dt\csv1\64853.csv,Pakistan,New Zealand,2003-12-01
dt\csv1\64855.csv,New Zealand,Pakistan,2003-12-05
dt\csv1\64857.csv,Pakistan,New Zealand,2004-01-03
dt\csv1\64862.csv,South Africa,West Indies,2004-01-25
dt\csv1\64864.csv,West Indies,South Africa,2004-01-30
dt\csv1\64865.csv,South Africa,West Indies,2004-02-01
dt\csv1\64870.csv,Australia,Sri Lanka,2004-02-20
dt\csv1\64871.csv,Sri Lanka,Australia,2004-02-22
dt\csv1\64872.csv,South Africa,New Zealand,2004-02-25
dt\csv1\64874.csv,Australia,Sri Lanka,2004-02-27
dt\csv1\64881.csv,Bangladesh,Zimbabwe,2004-03-14
dt\csv1\64882.csv,Pakistan,India,2004-03-16
dt\csv1\64883.csv,India,Pakistan,2004-03-19
dt\csv1\64884.csv,Pakistan,India,2004-03-21
dt\csv1\64885.csv,India,Pakistan,2004-03-24
dt\csv1\64887.csv,Zimbabwe,Sri Lanka,2004-04-20
dt\csv1\64889.csv,West Indies,England,2004-04-24
dt\csv1\64891.csv,Sri Lanka,Zimbabwe,2004-04-27
dt\csv1\64894.csv,England,West Indies,2004-05-02
dt\csv1\64896.csv,Bangladesh,West Indies,2004-05-15
dt\csv1\64897.csv,West Indies,Bangladesh,2004-05-16
dt\csv1\64898.csv,Bangladesh,West Indies,2004-05-19
dt\csv1\64899.csv,Zimbabwe,Australia,2004-05-25
