venue,start_date,latitude,longitude,temperature,precipitation,wind_speed
Harare Sports Club,2019-04-12,-17.815,31.0456,19.2,,8.7
Edgbaston,2014-06-03,52.4828,-1.8998,14.2,,7.4
"New Wanderers Stadium, Johannesburg",2003-02-11,-26.2044,27.9506,19.7,5.3,8.1
Shaheed Chandu Stadium,2006-02-20,18.9389,72.8258,28.5,,
Shere Bangla National Stadium,2015-06-18,23.75,90.4,30.0,0.8,
Shere Bangla National Stadium,2009-01-23,23.75,90.4,17.7,0.0,2.7
"Zayed Cricket Stadium, Abu Dhabi",2024-10-07,24.476,54.3742,32.6,0.0,11.2
Harare Sports Club,2007-08-25,-17.815,31.0456,19.7,,
"County Ground, New Road",2019-06-09,52.2036,-2.2282,,,
SuperSport Park,2016-09-30,-25.7906,28.2286,20.8,,13.1
Kingsmead,2005-02-11,-29.8567,31.0269,25.5,0.0,14.5
Tribhuvan University International Cricket Ground,2020-02-09,27.7111,85.3326,9.4,0.0,5.4
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2020-01-09,23.6344,58.5624,22.8,,15.8
"Holkar Cricket Stadium, Indore",2023-01-24,22.7167,75.864,18.7,0.0,4.8
Rangiri Dambulla International Stadium,2010-06-24,7.89,80.8,,,
Queens Sports Club,2014-08-21,-20.1692,28.5869,,,
"Rajiv Gandhi International Stadium, Uppal",2019-03-02,17.4389,78.5666,28.1,,9.5
Melbourne Cricket Ground,2003-01-25,-37.822,144.9635,29.7,0.0,
Harare Sports Club,2021-10-07,-17.815,31.0456,21.8,,14.2
Shere Bangla National Stadium,2012-03-15,23.75,90.4,26.9,,8.9
International Sports Stadium,2017-10-26,,,,,
Boland Bank Park,2009-10-21,-26.2075,27.9209,19.1,,2.5
W.A.C.A. Ground,2005-01-30,18.9389,72.8258,24.3,,
"Bay Oval, Mount Maunganui",2022-03-08,-37.6833,176.1667,21.0,0.8,12.4
Riverside Ground,2005-06-23,18.52,73.8564,25.5,0.3,
"ICC Academy, Dubai",2022-03-09,25.0758,55.165,28.9,0.0,22.7
"Tribhuvan University International Cricket Ground, Kirtipur",2024-02-19,27.6983,85.3109,14.0,0.0,6.6
Harare Sports Club,2023-01-21,-17.815,31.0456,20.8,1.9,9.7
Kinrara Academy Oval,2006-09-16,3.1236,101.6918,,,
Pallekele International Cricket Stadium,2022-01-21,7.4833,80.65,25.0,0.0,8.7
"County Ground, Bristol",2023-09-26,51.4514,-2.5861,15.5,1.1,8.3
Queens Sports Club,2013-05-08,-20.1692,28.5869,,,
"Seddon Park, Hamilton",2022-11-27,-37.7833,175.2786,,,
Shere Bangla National Stadium,2009-10-31,23.75,90.4,26.2,0.0,7.0
"County Ground, Bristol",2024-09-29,51.4514,-2.5861,10.4,17.9,16.6
"Brisbane Cricket Ground, Woolloongabba",2010-02-14,-27.4705,153.0269,27.2,0.0,23.7
"County Ground, Bristol",2022-07-15,51.4514,-2.5861,18.1,0.0,10.3
Melbourne Cricket Ground,2004-02-06,-37.822,144.9635,19.2,0.0,
Dubai International Cricket Stadium,2012-02-18,18.9389,72.8258,27.1,,
R.Premadasa Stadium,2004-07-27,6.9279,79.8611,,,
Trent Bridge,2009-09-17,52.9444,-1.1447,12.7,,12.5
Queens Sports Club,2013-05-03,-20.1692,28.5869,,,
Harare Sports Club,2022-08-22,-17.815,31.0456,14.9,0.0,14.2
Lord's,2008-06-28,51.5311,-0.2008,19.4,1.5,21.9
Adelaide Oval,2006-02-10,-34.9285,138.6007,16.8,0.0,16.6
The Rose Bowl,2019-06-14,34.1425,-118.1097,18.3,0.0,10.4
ICC Academy,2015-11-16,18.9389,72.8258,29.9,,7.9
Pallekele International Cricket Stadium,2020-03-01,7.4833,80.65,29.8,0.0,
The Rose Bowl,2013-06-02,34.1425,-118.1097,21.4,0.0,10.4
"Senwes Park, Potchefstroom",2023-09-24,-26.7186,27.1878,24.1,0.4,23.6
Galle International Stadium,2017-06-30,6.9289,80.2192,,,
Queens Sports Club,2018-07-22,-20.1692,28.5869,12.8,,15.4
Vidarbha Cricket Association Ground,2007-10-14,18.9389,72.8258,30.2,,
"The Rose Bowl, Southampton",2023-09-10,50.9244,-1.323316,20.5,0.0,5.9
University Oval,2015-02-17,-18.1439,178.4358,28.4,2.7,6.0
Rawalpindi Cricket Stadium,2005-12-21,33.5833,73.05,10.9,,2.1
Lord's,2008-08-31,51.5311,-0.2008,18.8,0.0,8.5
Edgbaston,2019-07-11,52.4828,-1.8998,18.7,,10.1
Melbourne Cricket Ground,2014-01-23,-37.822,144.9635,22.2,0.0,
Arbab Niaz Stadium,2004-10-03,18.9389,72.8258,28.5,7.9,
Eden Park No 2,2017-02-26,-36.8667,174.7667,19.6,0.0,14.2
Senwes Park,2010-10-17,-26.7036,27.9122,,,
Newlands,2006-03-03,-33.9969,18.4716,16.3,0.0,28.6
McLean Park,2006-03-01,-40.7122,176.8478,,,
"Takashinga Sports Club, Highfield, Harare",2023-06-20,-17.815,31.0461,14.9,0.0,9.4
Dubai International Cricket Stadium,2024-03-01,18.9389,72.8258,28.0,0.0,2.8
"The Wanderers Stadium, Johannesburg",2022-02-03,-26.2047,27.9795,21.8,3.5,10.1
"Lord's, London",2024-09-27,51.531,-0.2648,10.7,5.8,18.9
Rangiri Dambulla International Stadium,2010-08-10,7.89,80.8,,,
"Moosa Cricket Stadium, Pearland",2022-06-09,29.51768,-95.32565,29.3,0.0,8.0
Mangaung Oval,2020-03-04,-29.1136,26.2181,20.7,0.0,5.4
Wankhede Stadium,2005-11-28,18.9389,72.8258,26.6,,
Sinhalese Sports Club Ground,2016-11-09,6.9273,79.8597,27.7,0.0,
Jade Stadium,2006-01-03,-43.5303,172.6362,16.5,0.0,
"SuperSport Park, Centurion",2021-04-02,-25.7906,28.2328,20.3,0.2,5.3
"Grand Prairie Stadium, Dallas",2024-10-31,32.6667,-96.9928,20.0,12.2,14.2
Zahur Ahmed Chowdhury Stadium,2011-03-14,22.3911,91.8161,25.9,0.0,
Harare Sports Club,2007-08-26,-17.815,31.0456,16.4,,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-09-07,23.6344,58.5624,30.4,,10.6
Sharjah Cricket Stadium,2019-03-24,25.2086,55.5296,26.1,0.0,22.2
"Zahur Ahmed Chowdhury Stadium, Chattogram",2024-03-18,22.2353,91.7906,29.5,0.0,11.4
Harare Sports Club,2004-05-29,-17.815,31.0456,14.3,,
Mangaung Oval,2018-10-03,-29.1136,26.2181,11.7,,25.6
Adelaide Oval,2015-03-09,-34.9285,138.6007,17.7,0.0,18.0
"Tribhuvan University International Cricket Ground, Kirtipur",2023-03-15,27.6983,85.3109,17.0,2.9,6.2
Sophia Gardens,2013-06-06,51.4883,-3.1917,14.5,,21.8
Dubai International Cricket Stadium,2014-12-08,18.9389,72.8258,27.8,,
"VRA Ground, Amstelveen",2022-06-04,52.2928,4.9175,15.6,0.0,24.9
"Maple Leaf North-West Ground, King City",2024-09-16,44.0706,-79.6628,20.4,0.0,8.8
Edgbaston,2017-06-15,52.4828,-1.8998,16.9,,14.8
Rangiri Dambulla International Stadium,2003-05-11,7.89,80.8,,,
"Hazelaarweg, Rotterdam",2024-08-21,51.9287,4.4867,16.4,0.0,17.6
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2015-07-26,6.9389,81.0331,15.8,0.3,
"VRA Ground, Amstelveen",2022-06-02,52.2928,4.9175,13.3,0.0,7.7
Edgbaston,2005-06-28,52.4828,-1.8998,,,
Zahur Ahmed Chowdhury Stadium,2021-01-25,22.3911,91.8161,20.2,,9.2
"Kennington Oval, London",2023-09-13,51.4862,-0.1258,16.4,0.0,12.2
R Premadasa Stadium,2009-02-03,6.9269,79.8612,26.8,0.0,
"R Premadasa Stadium, Colombo",2021-07-18,6.9271,79.8612,28.6,0.0,6.1
"Warner Park, Basseterre",2012-07-14,17.3589,-62.7828,,,
Adelaide Oval,2007-01-23,-34.9285,138.6007,19.7,0.0,15.0
"Terdthai Cricket Ground, Bangkok",2023-04-21,13.7667,100.55,33.0,0.1,3.3
SuperSport Park,2009-11-22,-25.7906,28.2286,19.5,0.3,
The Rose Bowl,2017-09-29,34.1425,-118.1097,25.3,0.0,7.9
Kennington Oval,2008-08-29,51.48,-0.1195,20.7,0.0,7.2
"Sportpark Westvliet, The Hague",2024-08-15,52.0708,4.2939,19.7,0.3,19.7
"Sir Vivian Richards Stadium, North Sound",2014-03-02,17.7411,-61.8487,,,
Dubai International Cricket Stadium,2013-12-20,18.9389,72.8258,24.4,,
"Punjab Cricket Association Stadium, Mohali",2016-10-23,30.7348,76.7361,,,
"MA Chidambaram Stadium, Chepauk",2011-03-06,13.0484,80.2116,25.6,,
Malahide,2017-05-12,53.51,-6.1969,11.7,7.7,10.8
Harare Sports Club,2005-08-31,-17.815,31.0456,17.8,,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-09-16,23.6344,58.5624,31.4,,7.6
Dubai International Cricket Stadium,2018-09-23,18.9389,72.8258,28.2,0.0,4.8
"Seddon Park, Hamilton",2023-03-31,-37.7833,175.2786,,,
Harare Sports Club,2004-11-28,-17.815,31.0456,21.6,11.9,
Sir Vivian Richards Stadium,2021-03-12,17.1231,-61.7878,25.4,1.8,12.4
"United Cricket Club Ground, Windhoek",2023-04-02,-22.5708,17.0819,23.0,0.0,9.3
"Kensington Oval, Bridgetown, Barbados",2003-06-07,13.1036,-59.6197,27.7,0.5,
"County Ground, Bristol",2021-07-04,51.4514,-2.5861,16.1,14.4,14.4
"Clontarf Cricket Club Ground, Dublin",2014-05-06,53.3567,-6.2042,10.1,1.2,22.5
Queens Sports Club,2010-05-28,-20.1692,28.5869,,,
Gymkhana Club Ground,2007-10-27,18.9389,72.8258,30.1,,
"Queen's Park Oval, Port of Spain",2011-06-06,10.6936,-61.5215,28.4,0.0,10.2
Lord's,2007-09-08,51.5311,-0.2008,16.6,0.0,8.2
Adelaide Oval,2007-01-26,-34.9285,138.6007,20.2,0.0,22.3
"Sportpark Westvliet, The Hague",2024-08-11,52.0708,4.2939,21.1,0.0,9.3
Rangiri Dambulla International Stadium,2016-08-31,7.89,80.8,,,
"National Stadium, Karachi",2023-01-09,24.9067,67.0825,19.9,0.0,8.3
Kennington Oval,2004-09-25,51.48,-0.1195,11.9,,11.1
Bay Oval,2016-02-20,-37.6894,176.1642,,,
"Grand Prairie Stadium, Dallas",2024-10-25,32.6667,-96.9928,25.4,0.0,12.7
Zahur Ahmed Chowdhury Stadium,2018-10-24,22.3911,91.8161,27.7,0.0,3.2
M.Chinnaswamy Stadium,2020-01-19,12.9716,77.5946,23.3,,10.5
P Sara Oval,2017-02-08,18.9389,72.8258,26.1,,8.5
"Arnos Vale Ground, Kingstown",2010-03-14,13.1333,-61.2,,,
AMI Stadium,2010-02-11,-43.5389,172.6361,14.5,0.5,12.2
Sydney Cricket Ground,2015-03-26,-33.8688,151.2093,20.9,0.0,14.8
"University Oval, Dunedin",2023-12-17,-45.8722,170.5025,15.4,5.5,15.0
Sharjah Cricket Stadium,2023-06-06,25.2086,55.5296,36.6,0.0,16.7
"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-10-10,32.2311,76.2144,22.7,2.0,9.6
Queens Sports Club,2011-08-21,-20.1692,28.5869,,,
Feroz Shah Kotla,2013-01-06,28.63,77.2267,6.6,,
"Maharashtra Cricket Association Stadium, Pune",2023-11-08,18.5171,73.8068,24.6,0.7,7.1
P Sara Oval,2017-02-15,18.9389,72.8258,30.2,,9.5
Allan Border Field,2020-10-07,-18.9389,149.1644,,,
Rangiri Dambulla International Stadium,2018-03-24,7.89,80.8,,,
Melbourne Cricket Ground,2007-02-09,-37.822,144.9635,20.8,0.0,
Edgbaston,2014-09-02,52.4828,-1.8998,15.6,,7.6
New Wanderers Stadium,2015-01-18,-18.9389,30.7545,,,
"Gaddafi Stadium, Lahore",2022-11-04,31.5299,74.3086,24.4,0.0,0.1
Feroz Shah Kotla,2016-10-20,28.63,77.2267,27.7,,5.0
Eden Gardens,2011-03-20,22.5411,88.3628,29.1,,19.8
Green Park,2017-10-29,18.5209,73.8562,23.2,,
County Ground,2009-06-29,51.4729997747,-2.58382433136,20.3,,16.8
Boland Park,2020-02-29,-26.12,28.1,14.2,,18.8
ICC Global Cricket Academy,2013-03-11,18.9389,72.8258,27.3,,
Western Australia Cricket Association Ground,2007-01-28,-31.9286,115.8628,32.2,0.0,22.5
Junction Oval,2019-03-03,-37.8389,144.9631,25.5,0.0,19.9
Sheikh Zayed Stadium,2009-04-27,24.4361,54.3896,33.9,,17.3
Harare Sports Club,2022-08-05,-17.815,31.0456,18.9,0.0,12.3
Sophia Gardens,2013-06-14,51.4883,-3.1917,13.5,,17.7
Grace Road,2016-06-20,52.6328,-1.1358,16.6,,21.5
Sedgars Park,2006-09-20,,,,,
Providence Stadium,2010-03-04,18.9389,72.8258,26.6,,
County Ground,2017-07-12,51.4729997747,-2.58382433136,15.5,,15.3
National Stadium,2008-04-19,12.0554,-61.7513,,,
