Player Name,Fantasy Points,Match Date
SP Fleming,7,2002-12-29
NJ Astle,85,2002-12-29
MS Sinclair,86,2002-12-29
CD McMillan,13,2002-12-29
L Vincent,38,2002-12-29
JDP Oram,37,2002-12-29
BB McCullum,61,2002-12-29
KD Mills,82,2002-12-29
DL Vettori,35,2002-12-29
DR Tuffey,73,2002-12-29
PA Hitchcock,29,2002-12-29
SC Ganguly,22,2002-12-29
V Sehwag,127,2002-12-29
VVS Laxman,22,2002-12-29
R Dravid,25,2002-12-29
Yuvraj Singh,5,2002-12-29
M Kaif,31,2002-12-29
SB Bangar,5,2002-12-29
Harbhajan Singh,42,2002-12-29
Z Khan,113,2002-12-29
J Srinath,104,2002-12-29
A Nehra,0,2002-12-29
V Sehwag,4,2003-01-01
SC Ganguly,6,2003-01-01
VVS Laxman,5,2003-01-01
R Dravid,18,2003-01-01
M Kaif,34,2003-01-01
Yuvraj Singh,7,2003-01-01
SB Bangar,1,2003-01-01
AB Agarkar,96,2003-01-01
Z Khan,36,2003-01-01
Harbhajan Singh,-3,2003-01-01
J Srinath,26,2003-01-01
SP Fleming,6,2003-01-01
NJ Astle,71,2003-01-01
MS Sinclair,-3,2003-01-01
CD McMillan,23,2003-01-01
L Vincent,22,2003-01-01
BB McCullum,54,2003-01-01
JDP Oram,66,2003-01-01
KD Mills,31,2003-01-01
DL Vettori,8,2003-01-01
DR Tuffey,56,2003-01-01
PA Hitchcock,93,2003-01-01
V Sehwag,33,2003-01-04
R Dravid,23,2003-01-04
D Mongia,11,2003-01-04
M Kaif,-3,2003-01-04
SC Ganguly,2,2003-01-04
Yuvraj Singh,26,2003-01-04
PA Patel,12,2003-01-04
AB Agarkar,-3,2003-01-04
Z Khan,1,2003-01-04
J Srinath,94,2003-01-04
A Nehra,1,2003-01-04
SP Fleming,52,2003-01-04
NJ Astle,24,2003-01-04
MS Sinclair,40,2003-01-04
CD McMillan,5,2003-01-04
SB Styris,34,2003-01-04
JDP Oram,4,2003-01-04
BB McCullum,22,2003-01-04
AR Adams,147,2003-01-04
KD Mills,47,2003-01-04
DL Vettori,8,2003-01-04
DR Tuffey,62,2003-01-04
SP Fleming,35,2003-01-08
NJ Astle,-3,2003-01-08
MS Sinclair,-3,2003-01-08
CZ Harris,9,2003-01-08
CL Cairns,27,2003-01-08
SB Styris,64,2003-01-08
BB McCullum,52,2003-01-08
AR Adams,100,2003-01-08
DL Vettori,43,2003-01-08
DR Tuffey,33,2003-01-08
SE Bond,69,2003-01-08
SC Ganguly,24,2003-01-08
V Sehwag,56,2003-01-08
D Mongia,2,2003-01-08
SR Tendulkar,-3,2003-01-08
R Dravid,9,2003-01-08
Yuvraj Singh,64,2003-01-08
M Kaif,9,2003-01-08
A Kumble,72,2003-01-08
Z Khan,138,2003-01-08
J Srinath,73,2003-01-08
A Nehra,60,2003-01-08
SC Ganguly,12,2003-01-14
V Sehwag,4,2003-01-14
SR Tendulkar,1,2003-01-14
D Mongia,-3,2003-01-14
R Dravid,12,2003-01-14
Yuvraj Singh,35,2003-01-14
M Kaif,-3,2003-01-14
A Kumble,52,2003-01-14
Z Khan,41,2003-01-14
J Srinath,86,2003-01-14
A Nehra,2,2003-01-14
SP Fleming,98,2003-01-14
MS Sinclair,3,2003-01-14
BB McCullum,33,2003-01-14
CL Cairns,12,2003-01-14
SB Styris,95,2003-01-14
L Vincent,14,2003-01-14
CZ Harris,0,2003-01-14
KD Mills,56,2003-01-14
AR Adams,126,2003-01-14
DL Vettori,4,2003-01-14
DR Tuffey,56,2003-01-14
AC Gilchrist,51,2003-05-17
ML Hayden,13,2003-05-17
RT Ponting,68,2003-05-17
DS Lehmann,59,2003-05-17
A Symonds,57,2003-05-17
MG Bevan,43,2003-05-17
IJ Harvey,136,2003-05-17
AJ Bichel,0,2003-05-17
B Lee,50,2003-05-17
GD McGrath,35,2003-05-17
GB Hogg,8,2003-05-17
CH Gayle,76,2003-05-17
RL Powell,50,2003-05-17
DS Smith,26,2003-05-17
BC Lara,24,2003-05-17
RR Sarwan,55,2003-05-17
MN Samuels,12,2003-05-17
