csv_number,num_players,start_number,end_number,date,num_teama,num_teamb,teama_players,teamb_players,venue
64814,22,0,21,2002-12-29,11,11,"['SP Fleming', 'NJ Astle', 'MS Sinclair', 'CD McMillan', 'L Vincent', 'JDP Oram', 'BB McCullum', 'KD Mills', 'DL Vettori', 'DR Tuffey', 'PA Hitchcock']","['SC Ganguly', 'V Sehwag', 'VVS Laxman', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'SB Bangar', 'Harbhajan Singh', 'Z Khan', 'J Srinath', 'A Nehra']","McLean Park, Napier"
64815,22,22,43,2003-01-01,11,11,"['V Sehwag', 'SC Ganguly', 'VVS Laxman', 'R Dravid', 'M Kaif', 'Yuvraj Singh', 'SB Bangar', 'AB Agarkar', 'Z Khan', 'Harbhajan Singh', 'J Srinath']","['SP Fleming', 'NJ Astle', 'MS Sinclair', 'CD McMillan', 'L Vincent', 'BB McCullum', 'JDP Oram', 'KD Mills', 'DL Vettori', 'DR Tuffey', 'PA Hitchcock']","Jade Stadium, Christchurch"
64816,22,44,65,2003-01-04,11,11,"['V Sehwag', 'R Dravid', 'D Mongia', 'M Kaif', 'SC Ganguly', 'Yuvraj Singh', 'PA Patel', 'AB Agarkar', 'Z Khan', 'J Srinath', 'A Nehra']","['SP Fleming', 'NJ Astle', 'MS Sinclair', 'CD McMillan', 'SB Styris', 'JDP Oram', 'BB McCullum', 'AR Adams', 'KD Mills', 'DL Vettori', 'DR Tuffey']","Davies Park, Queenstown"
64817,22,66,87,2003-01-08,11,11,"['SP Fleming', 'NJ Astle', 'MS Sinclair', 'CZ Harris', 'CL Cairns', 'SB Styris', 'BB McCullum', 'AR Adams', 'DL Vettori', 'DR Tuffey', 'SE Bond']","['SC Ganguly', 'V Sehwag', 'D Mongia', 'SR Tendulkar', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'A Kumble', 'Z Khan', 'J Srinath', 'A Nehra']","Westpac Stadium, Wellington"
64819,22,88,109,2003-01-14,11,11,"['SC Ganguly', 'V Sehwag', 'SR Tendulkar', 'D Mongia', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'A Kumble', 'Z Khan', 'J Srinath', 'A Nehra']","['SP Fleming', 'MS Sinclair', 'BB McCullum', 'CL Cairns', 'SB Styris', 'L Vincent', 'CZ Harris', 'KD Mills', 'AR Adams', 'DL Vettori', 'DR Tuffey']","Westpac Park, Hamilton"
64820,22,110,131,2003-05-17,11,11,"['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'DS Lehmann', 'A Symonds', 'MG Bevan', 'IJ Harvey', 'AJ Bichel', 'B Lee', 'GD McGrath', 'GB Hogg']","['CH Gayle', 'RL Powell', 'DS Smith', 'BC Lara', 'RR Sarwan', 'MN Samuels', 'OAC Banks', 'CS Baugh', 'VC Drakes', 'M Dillon', 'CD Collymore']","Sabina Park, Kingston, Jamaica"
64825,22,132,153,2003-05-30,11,11,"['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'A Symonds', 'DS Lehmann', 'JP Maher', 'GB Hogg', 'AJ Bichel', 'B Lee', 'NM Hauritz', 'JN Gillespie']","['CH Gayle', 'WW Hinds', 'BC Lara', 'RR Sarwan', 'MN Samuels', 'RL Powell', 'RD Jacobs', 'DE Bernard', 'VC Drakes', 'M Dillon', 'CD Collymore']","Queen's Park (New), St George's, Grenada"
64826,22,154,175,2003-06-01,11,11,"['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'DS Lehmann', 'A Symonds', 'MJ Clarke', 'IJ Harvey', 'GB Hogg', 'B Lee', 'JN Gillespie', 'GD McGrath']","['CH Gayle', 'WW Hinds', 'BC Lara', 'RR Sarwan', 'MN Samuels', 'RL Powell', 'RD Jacobs', 'DE Bernard', 'VC Drakes', 'M Dillon', 'CD Collymore']","Queen's Park (New), St George's, Grenada"
64827,22,176,197,2003-06-07,11,11,"['ST Jayasuriya', 'RS Kaluwitharana', 'MS Atapattu', 'KC Sangakkara', 'DPMD Jayawardene', 'TM Dilshan', 'HDPK Dharmasena', 'WPUJC Vaas', 'M Muralitharan', 'RAP Nissanka', 'D Gamage']","['CH Gayle', 'WW Hinds', 'RL Powell', 'RR Sarwan', 'BC Lara', 'MN Samuels', 'RD Jacobs', 'DE Bernard', 'VC Drakes', 'M Dillon', 'CD Collymore']","Kensington Oval, Bridgetown, Barbados"
64829,22,198,219,2003-06-11,11,11,"['ST Jayasuriya', 'RS Kaluwitharana', 'MS Atapattu', 'KC Sangakkara', 'UDU Chandana', 'DPMD Jayawardene', 'TM Dilshan', 'HDPK Dharmasena', 'WPUJC Vaas', 'M Muralitharan', 'D Gamage']","['CH Gayle', 'WW Hinds', 'BC Lara', 'RR Sarwan', 'MN Samuels', 'RL Powell', 'RD Jacobs', 'DBL Powell', 'RO Hurley', 'CD Collymore', 'JE Taylor']","Arnos Vale Ground, Kingstown, St Vincent"
